country,hs_code,hs_desc,period_value,ytd_value,prev_year_value,yoy_change_pct,share_of_total,period_value_teu,ytd_value_teu,prev_year_value_teu,yoy_change_pct_teu,share_of_total_teu,period_value_shipment,ytd_value_shipment,prev_year_value_shipment,yoy_change_pct_shipment,share_of_total_shipment,period_value_container,ytd_value_container,prev_year_value_container,yoy_change_pct_container,share_of_total_container,period_value_vrac,ytd_value_vrac,prev_year_value_vrac,yoy_change_pct_vrac,share_of_total_vrac,anomaly_score_weight_kg,is_anomaly_weight_kg,zscore_weight_kg,is_significant_weight_kg,hs_chapter
BRAZIL,207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",20100529.77,20100529.77,12019511.2,67.23250584433084,0.4912535807204294,1521.25,1521.25,958.0,58.79436325678497,1.499122945326974,721,721,420.0,71.66666666666667,1.6604486205149462,735,735,436.0,68.57798165137615,1.2508934953538242,0,0,0.0,0.0,0.0,-0.6137006651624473,-1,0.03476608717536917,False,20
BRAZIL,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",19896916.6,19896916.6,33715493.72,-40.98583646664154,0.4862773089510344,476.0,476.0,1621.0,-70.63541024059222,0.4690764318656628,45,45,141.0,-68.08510638297872,0.1036341025286721,366,366,1161.0,-68.47545219638243,0.622893903808843,11,11,3.0,266.6666666666667,0.0881480887891658,-0.61651664680575,-1,0.03613247764764925,False,17
CHINA,7214,"Iron or non-alloy steel; bars and rods, not further worked than forged, hot-rolled, hot drawn or hot-extruded, but including those twisted after rolling",19789137.25,19789137.25,169708.0,11560.697934098567,0.4836431996901807,50.0,50.0,12.0,316.6666666666667,0.0492727344396704,16,16,2.0,700.0,0.0368476808990834,47,47,6.0,683.3333333333334,0.0799891078661629,2,2,0.0,200.0,0.0160269252343937,-0.7364919555631146,-1,0.1103531349387437,False,72
CHINA,6309,Textiles; worn clothing and other worn articles,17978331.9,17978331.9,12142658.4,48.05927423602724,0.4393874202478456,1504.0,1504.0,985.5,52.6128868594622,1.4821238519452875,550,550,334.0,64.67065868263474,1.2666390309059925,747,747,493.0,51.521298174442194,1.2713162462983765,0,0,0.0,0.0,0.0,-0.5992063734179178,-1,0.035008172947826516,False,63
NETHERLANDS,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,15937232.069999998,15937232.069999997,14065653.76,13.306017209967202,0.3895032822888608,868.5,868.5,777.0,11.776061776061775,0.8558673972170759,99,99,100.0,-1.0,0.2279950255630786,796,796,701.0,13.552068473609127,1.3547091459886311,0,0,0.0,0.0,0.0,-0.5905361215550378,-1,0.03544697581864349,False,40
DOMINICAN REPUBLIC,7308,"Structures of iron or steel and parts thereof; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures",15704585.0,15704585.0,17560.0,89333.85535307517,0.3838174268666723,0.0,0.0,2.0,-100.0,0.0,4,4,1.0,300.0,0.0092119202247708,0,0,1.0,-100.0,0.0,4,4,0.0,400.0,0.0320538504687875,-0.7950400718070305,-1,1.0923354775536323,False,73
INDIA,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",13460891.51,13460891.51,6063391.69,122.0026710825934,0.3289819337919236,486.0,486.0,232.0,109.48275862068964,0.4789309787535969,81,81,37.0,118.91891891891892,0.1865413845516098,484,484,220.0,120.0,0.8237176214302733,0,0,0.0,0.0,0.0,-0.5637180352905252,-1,0.03407454607107358,False,69
CHINA,8711,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with or without side-cars; side-cars",12769939.33,12769939.33,4287812.46,197.81944637569345,0.3120951782478886,1486.0,1486.0,511.25,190.6601466992665,1.4643856675470062,452,452,141.0,220.5673758865248,1.0409469853991065,706,706,235.0,200.4255319148936,1.2015385139044896,21,21,17.0,23.529411764705884,0.1682827149611347,-0.5641901969141074,-1,0.03311726547346653,False,87
CHINA,703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",12638927.98,12638927.98,10654657.0,18.62350876241253,0.3088932827984177,887.0,887.0,797.75,11.187715449702289,0.874098308959754,223,223,184.0,21.195652173913043,0.5135645525309751,436,436,368.0,18.47826086956522,0.7420266176520643,0,0,0.0,0.0,0.0,-0.5522177867047884,-1,0.035379835908360885,False,70
BRAZIL,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",12615321.04,12615321.04,9028814.21,39.72289989119181,0.3083163331390032,496.0,496.0,375.0,32.266666666666666,0.488785525641531,77,77,66.0,16.666666666666668,0.1773294643268389,474,474,340.0,39.41176470588236,0.8066986623098131,0,0,0.0,0.0,0.0,-0.5556010519800557,-1,0.035113429988683886,False,69
PERU,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",12257850.16,12257850.16,3801270.04,222.46722887385292,0.2995798047085248,458.0,458.0,141.0,224.82269503546095,0.4513382474673814,78,78,27.0,188.88888888888889,0.1796324443830316,458,458,141.0,224.82269503546095,0.7794683277170769,0,0,0.0,0.0,0.0,-0.565282278238648,-1,0.03280605672225927,False,69
