country,hs_code,hs_desc,period_value,ytd_value,prev_year_value,yoy_change_pct,share_of_total,period_value_teu,ytd_value_teu,prev_year_value_teu,yoy_change_pct_teu,share_of_total_teu,period_value_shipment,ytd_value_shipment,prev_year_value_shipment,yoy_change_pct_shipment,share_of_total_shipment,period_value_container,ytd_value_container,prev_year_value_container,yoy_change_pct_container,share_of_total_container,period_value_vrac,ytd_value_vrac,prev_year_value_vrac,yoy_change_pct_vrac,share_of_total_vrac,anomaly_score,is_anomaly
GUATEMALA,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",49233844.62,49233844.620000005,39645964.68999999,24.183747337136644,1.203266915795735,1420.5,1420.5,1041.25,36.42256902761105,1.399838385431038,118,118,87.0,35.632183908045974,0.2717516466307402,889,889,638.0,39.341692789968654,1.512985465808911,30,30,20.0,50.0,0.2404038785159067,-0.6891596782352026,-1
COLOMBIA,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",47869824.84,47869824.84,59028574.95999999,-18.903980195289456,1.1699305008471803,2677.0,2677.0,3271.25,-18.16583874665648,2.6380622018999564,182,182,175.0,4.0,0.4191423702270738,1882,1882,2340.0,-19.57264957264957,3.202968106470608,0,0,0.0,0.0,0.0,-0.6862578411447317,-1
PERU,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,37587960.05,37587960.05,37120158.0,1.2602372274385374,0.918643447601976,1741.0,1741.0,1736.0,0.2880184331797235,1.7156766131893255,300,300,253.0,18.57707509881423,0.690894016857814,1737,1737,1715.0,1.282798833819242,2.9561931992239354,0,0,0.0,0.0,0.0,-0.6689611046452754,-1
DOMINICAN REPUBLIC,3824,"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specif",36301084.0,36301084.0,26850717.0,35.19595770943472,0.8871924124929714,5.0,5.0,2.25,122.22222222222224,0.004927273443967,8,8,5.0,60.0,0.0184238404495417,3,3,1.0,200.0,0.005105687736138,5,5,4.0,25.0,0.0400673130859844,-0.6645227136414954,-1
NETHERLAND ANTILLES,2709,Petroleum oils and oils obtained from bituminous minerals; crude,28892263.0,28892263.0,6227460.0,363.9493950984832,0.7061220682377257,0.0,0.0,0.0,0.0,0.0,8,8,1.0,700.0,0.0184238404495417,0,0,0.0,0.0,0.0,8,8,1.0,700.0,0.0641077009375751,-0.6593869801696963,-1
PANAMA,8506,Cells and batteries; primary,129856.46,129856.46,629.0,20544.906200317964,0.0031736701313161,9.0,9.0,2.0,350.0,0.0088690921991406,5,5,1.0,400.0,0.0115149002809635,6,6,1.0,500.0,0.0102113754722761,0,0,0.0,0.0,0.0,-0.643245437353258,-1
USA,4407,"Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness exceeding 6mm",26423101.860000003,26423101.860000003,12713166.92,107.84043839172688,0.6457761835630287,109.5,109.5,22.0,397.7272727272728,0.1079072884228783,47,47,26.0,80.76923076923077,0.1082400626410575,45,45,11.0,309.09090909090907,0.0765853160420708,30,30,20.0,50.0,0.2404038785159067,-0.6401961396395515,-1
EL SALVADOR,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",22906015.93,22906015.93,22085164.88,3.716753098562336,0.5598191925491574,127.0,127.0,286.0,-55.59440559440559,0.1251527454767629,22,22,18.0,22.22222222222222,0.0506655612362396,87,87,284.0,-69.36619718309859,0.1480649443480036,6,6,3.0,100.0,0.0480807757031813,-0.6258403237416272,-1
EGYPT,8441,"Machines; for making up paper pulp, paper or paperboard, including cutting machines of all kinds",455469.6,455469.6,3995.0,11300.991239048812,0.0111316007323971,0.0,0.0,0.0,0.0,0.0,6,6,5.0,20.0,0.0138178803371562,0,0,0.0,0.0,0.0,6,6,5.0,20.0,0.0480807757031813,-0.6254903709205832,-1
HONDURAS,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",22863430.0,22863430.0,27635032.19,-17.266497672930704,0.5587783995531422,1426.0,1426.0,1445.75,-1.36607297250562,1.4052583862194017,43,43,56.0,-23.214285714285715,0.0990281424162866,908,908,1101.0,-17.529518619436875,1.5453214881377857,0,0,0.0,0.0,0.0,-0.6247657533319293,-1
